,source,author,title,description,url,urlToImage,publishedAt,content
88,ESPN,Kevin SeifertESPN Staff Writer ,"Five on-field NFL officials, two replay officials opt out of season, source says","Five on-field officials and two replay officials have opted out of the 2020 NFL season, a source told ESPN's Kevin Seifert.",http://espn.go.com/nfl/story/_/id/29660931/five-field-nfl-officials-two-replay-officials-opt-season-source-says,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2016%2F0701%2Fr98819_1296x729_16%2D9.jpg,2020-08-14T15:03:03Z,"Five NFL game officials and two replay officials have opted out of the 2020 season because of the coronavirus pandemic, a source said Friday morning.
The voluntary decisions, in conjunction with an … [+553 chars]"
89,The Irish Times,"Jack Horgan-Jones, Shauna Bowers",Tipperary mushroom plant suspends work as staff test positive for Covid-19,Walsh’s Mushrooms in Golden finds 11 workers have contracted virus after testing,https://www.irishtimes.com/news/ireland/irish-news/tipperary-mushroom-plant-suspends-work-as-staff-test-positive-for-covid-19-1.4330407,https://www.irishtimes.com/image-creator/?id=1.4330405&origw=1440,2020-08-14T15:01:37Z,"A mushroom plant in Co Tipperary has suspended operations after a number of workers tested positive for Covid-19.
The plant confirmed that it had a single positive test in recent days, with more pos… [+1993 chars]"
90,MTV News,MTV News Staff,How Evanescence's Amy Lee Became A Voice For The Unheard,New single 'Use Your Voice' displays what's been true throughout the band's career: Lee can't be silenced,http://www.mtv.com/news/3168757/evanescence-amy-lee-interview-use-your-voice/,https://mtv.mtvnimages.com/uri/mgid:ao:image:mtv.com:694177?quality=0.8&format=jpg&width=1440&height=810&.jpg,2020-08-14T15:00:46Z,"By Erica Russell
When Evanescence first broke out in 2003, no one really knew what to make of them.
Despite rising on the Billboard Hot 100 and Top 40 charts and scoring five Grammy nominations (in… [+8002 chars]"
91,The Wall Street Journal,Jason Zweig,"This Fund Is Up 7,298% in 10 Years. You Don’t Want It.","A leveraged fund that goes by its ticker, TQQQ, triples the daily upside of the Nasdaq 100 index. Only trouble is, it also triples the downside.",https://www.wsj.com/articles/this-fund-is-up-7-298-in-10-years-you-dont-want-it-11597417224?mod=hp_lead_pos11,https://images.wsj.net/im-220736/social,2020-08-14T15:00:00Z,"Few funds in history can rival the returns of ProShares UltraPro QQQ, a $7 billion exchange-traded fund that seeks to triple the daily performance of the Nasdaq 100 index.
Yet fewer can rival its ri… [+146 chars]"
92,The Huffington Post,Ryan Grenoble,Donald Trump's Brother Robert Hospitalized In New York,"The president's younger brother is ""very ill,"" sources told ABC News.",https://www.huffpost.com/entry/donald-trump-brother-robert-hospitalized_n_5f36a418c5b69fa9e2faea69,https://img.huffingtonpost.com/asset/5f36a5bf1f0000e5e8339b5f.jpeg?cache=V3qUtaKbDR&ops=1200_630,2020-08-14T14:58:45Z,"President Donald Trump’s younger brother, Robert Trump, is hospitalized in New York.
White House press secretary Kayleigh McEnany confirmed the news to ABC News. The outlet described Robert’s condit… [+75 chars]"
93,Google News (UK),https://www.facebook.com/bbcnews,Trump 'abhorrent' for fuelling Harris conspiracy,The Biden campaign issues a scathing response after Mr Trump spreads false information about Kamala Harris.,https://www.bbc.co.uk/news/election-us-2020-53783177,https://ichef.bbci.co.uk/news/1024/branded_news/14004/production/_113942918_hi062889185.jpg,2020-08-14T14:58:05+00:00,"Image copyrightReutersImage caption
 Joe Biden named Kamala Harris his running mate - she is the first woman of colour on a major party ticket
The campaign team for Democratic White House candidate… [+5752 chars]"
94,BBC News,BBC News,Trump 'abhorrent' for fuelling Harris conspiracy,The Biden campaign issues a scathing response after Mr Trump spreads false information about Kamala Harris.,http://www.bbc.co.uk/news/election-us-2020-53783177,https://ichef.bbci.co.uk/news/1024/branded_news/14004/production/_113942918_hi062889185.jpg,2020-08-14T14:56:31Z,"Image copyrightReutersImage caption
 Joe Biden named Kamala Harris his running mate - she is the first woman of colour on a major party ticket
The campaign team for Democratic White House candidate… [+5752 chars]"
95,Ars Technica,Kiona N. Smith,"People slept on comfy grass beds 200,000 years ago",The earliest members of our species slept on piles of grass alongside warm hearth fires.,https://arstechnica.com/science/2020/08/people-slept-on-comfy-grass-beds-200000-years-ago/,https://cdn.arstechnica.net/wp-content/uploads/2020/08/1077px-Border_Cave00-760x380.jpg,2020-08-14T14:56:23+00:00,"21 with 21 posters participating
Fragments of glassy petrified grass and microscopic traces of plant material, dating to around 200,000 years ago, are all thats left of a Paleolithic hunter-gatherer… [+4452 chars]"
96,TechCrunch,Brian Heater,Researchers explore sound to help improve robotic perception,Robots primarily rely on two basic senses: vision and touch. But even the latter still has a long ways to go to get up to the speed with the former. Researchers at Carnegie Mellon University are looking to hearing as a potential additional sense to help machi…,https://techcrunch.com/2020/08/14/researchers-explore-sound-to-help-improve-robotic-perception/,https://techcrunch.com/wp-content/uploads/2020/08/tilt-bot.jpg?w=714,2020-08-14T14:56:15Z,Robots primarily rely on two basic senses: vision and touch. But even the latter still has a long ways to go to get up to the speed with the former. Researchers at Carnegie Mellon University are look… [+1375 chars]
97,News24,,Those in power need to examine themselves - Ramaphosa at struggle stalwart John Nkadimeng's funeral,"""Now more than ever, we have to stand united in our quest to restore our country to its founding values values that Ntate John Nkadimeng lived by,"" Ramaphosa eulogised.",https://www.news24.com/news24/SouthAfrica/News/those-in-power-need-to-examine-themselves-ramaphosa-at-struggle-stalwart-john-nkadimengs-funeral-20200814,https://cdn.24.co.za/files/Cms/General/d/10416/75547e88f1374c05a7dd23089a7147f5.jpg,2020-08-14T14:55:30+00:00,<ul><li>The 93-year-old stalwart died on 6 August. </li><li>He received a special official funeral which was held at the Marks Park Sports Club in Johannesburg on 14 August.</li><li>Ramaphosa describ… [+4979 chars]
98,The Verge,Taylor Lyles,Ubisoft fires former Assassin’s Creed Valhalla creative director following an investigation,Ashraf Ismail’s employment has been terminated at Ubisoft. Ismail was previously the creative director for Assassin’s Creed Valhalla before stepping down from his position in June after accusations of professional misconduct surfaced online.,https://www.theverge.com/2020/8/14/21368787/ubisoft-fires-former-assassins-creed-valhalla-creative-director-ashraf-ismail-allegations-misconduct,https://cdn.vox-cdn.com/thumbor/av-YuYmmOvQ4mtboFUzJwxM93d8=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16309953/acastro_190528_1777_ubisoft_0002.0.jpg,2020-08-14T14:55:12Z,"And new allegations have surfaced against additional Ubisoft employees
Illustration by Alex Castro / The Verge
Ashraf Ismail, the former creative director for Assassins Creed Valhalla, has been fir… [+2095 chars]"
99,Fortune,Lucinda Shen,Fortnite maker accuses Apple of being “more pernicious than the monopolists of yesteryear” in a lawsuit,The company behind Fortnite is suing Apple. And have you seen its Nineteen Eighty Fortnite video?,https://fortune.com/2020/08/14/fortnite-maker-accuses-apple-of-being-more-pernicious-than-the-monopolists-of-yesteryear-in-a-lawsuit/,"https://content.fortune.com/wp-content/uploads/2020/08/GettyImages-1162847877.jpg?resize=1200,600",2020-08-14T14:53:20Z,
